TOP2-TOP2-TOP1-TOP2,141
TOP2-TOP2-TOP1-TOP3,107
TOP2-TOP2-TOP1-TOP4,97
TOP2-TOP2-TOP1-TOP5,83
TOP2-TOP2-TOP1-TOP6,70
TOP2-TOP2-TOP2-TOP1,72
TOP2-TOP2-TOP2-TOP2,26
TOP2-TOP2-TOP2-TOP3,20
TOP2-TOP2-TOP2-TOP4,13
TOP2-TOP2-TOP2-TOP5,8
TOP2-TOP2-TOP2-TOP6,4
TOP2-TOP2-TOP3-TOP1,8
TOP2-TOP2-TOP3-TOP2,4
TOP2-TOP2-TOP3-TOP3,3
TOP2-TOP2-TOP3-TOP4,2
TOP2-TOP2-TOP3-TOP5,2
TOP2-TOP2-TOP3-TOP6,2
TOP2-TOP2-TOP4-TOP1,2
TOP2-TOP2-TOP4-TOP2,2
TOP2-TOP2-TOP4-TOP3,1
TOP2-TOP2-TOP4-TOP4,1
TOP2-TOP3-TOP1-TOP1,170
TOP2-TOP3-TOP1-TOP2,30
TOP2-TOP3-TOP1-TOP3,29
TOP2-TOP3-TOP1-TOP4,28
TOP2-TOP3-TOP1-TOP5,13
TOP2-TOP3-TOP1-TOP6,12
TOP2-TOP3-TOP2-TOP1,82
TOP2-TOP3-TOP2-TOP2,54
TOP2-TOP3-TOP2-TOP3,7
TOP2-TOP3-TOP2-TOP4,1
TOP2-TOP3-TOP2-TOP5,1
TOP2-TOP3-TOP2-TOP6,1
TOP2-TOP3-TOP3-TOP1,37
TOP2-TOP3-TOP3-TOP2,34
TOP2-TOP3-TOP3-TOP3,32
TOP2-TOP3-TOP3-TOP4,10
TOP2-TOP3-TOP3-TOP5,3
TOP2-TOP3-TOP3-TOP6,2
TOP2-TOP3-TOP4-TOP1,96
TOP2-TOP3-TOP4-TOP2,1
TOP2-TOP3-TOP4-TOP3,1
TOP2-TOP3-TOP5-TOP1,70
TOP2-TOP3-TOP5-TOP2,2
TOP2-TOP3-TOP6-TOP1,32
TOP2-TOP3-TOP6-TOP2,2
TOP2-TOP3-TOP6-TOP3,1
TOP2-TOP4-TOP1-TOP1,62
TOP2-TOP4-TOP1-TOP2,4
TOP2-TOP4-TOP1-TOP3,3
TOP2-TOP4-TOP1-TOP4,3
TOP2-TOP4-TOP1-TOP5,3
TOP2-TOP4-TOP1-TOP6,2
TOP2-TOP4-TOP2-TOP1,68
TOP2-TOP4-TOP2-TOP2,7
TOP2-TOP4-TOP2-TOP3,1
TOP2-TOP4-TOP2-TOP4,1
TOP2-TOP4-TOP3-TOP1,40
TOP2-TOP4-TOP3-TOP2,14
TOP2-TOP4-TOP3-TOP3,7
TOP2-TOP4-TOP3-TOP4,6
TOP2-TOP4-TOP3-TOP5,3
TOP2-TOP4-TOP3-TOP6,1
TOP2-TOP4-TOP4-TOP1,45
TOP2-TOP4-TOP4-TOP2,2
TOP2-TOP4-TOP4-TOP3,2
TOP2-TOP4-TOP4-TOP4,2
TOP2-TOP4-TOP4-TOP5,1
TOP2-TOP4-TOP4-TOP6,1
TOP2-TOP4-TOP5-TOP1,20
TOP2-TOP4-TOP5-TOP2,14
TOP2-TOP4-TOP5-TOP3,13
TOP2-TOP4-TOP5-TOP4,3
TOP2-TOP4-TOP5-TOP5,1
TOP2-TOP4-TOP5-TOP6,1
TOP2-TOP4-TOP6-TOP1,18
TOP2-TOP4-TOP6-TOP2,6
TOP2-TOP4-TOP6-TOP3,3
TOP2-TOP4-TOP6-TOP4,2
TOP2-TOP4-TOP6-TOP5,2
TOP2-TOP4-TOP6-TOP6,1
TOP2-TOP5-TOP1-TOP1,130
TOP2-TOP5-TOP1-TOP2,14
TOP2-TOP5-TOP1-TOP3,11
TOP2-TOP5-TOP1-TOP4,10
TOP2-TOP5-TOP1-TOP5,5
TOP2-TOP5-TOP1-TOP6,2
TOP2-TOP5-TOP2-TOP1,91
TOP2-TOP5-TOP2-TOP2,37
TOP2-TOP5-TOP2-TOP3,2
TOP2-TOP5-TOP2-TOP4,1
TOP2-TOP5-TOP2-TOP5,1
TOP2-TOP5-TOP3-TOP1,18
